x1,y1,x1_m,y1_m,goal
0.4,85.80000000000001,0.42,58.34400000000001,0
76.80000000000001,96.4,80.64000000000001,65.552,0
56.800000000000004,13.8,59.64000000000001,9.384,0
49.400000000000006,98.2,51.870000000000005,66.776,0
45.6,54.800000000000004,47.88,37.264,0
97.9,93.7,102.79500000000002,63.716,0
49.7,67.8,52.185,46.104,0
88.5,13.100000000000001,92.925,8.908000000000001,0
79.10000000000001,21.700000000000003,83.055,14.756000000000002,0
61.800000000000004,14.200000000000001,64.89,9.656,0
46.6,49.800000000000004,48.93,33.864000000000004,0
8.0,14.5,8.4,9.86,0
34.6,72.9,36.330000000000005,49.572,0
73.60000000000001,19.6,77.28000000000002,13.328000000000001,0
71.9,89.80000000000001,75.495,61.06400000000001,0
75.8,22.3,79.59,15.164,0
45.400000000000006,58.7,47.67000000000001,39.916000000000004,0
51.7,5.1000000000000005,54.285000000000004,3.4680000000000004,0
5.4,2.5,5.670000000000001,1.7000000000000002,0
34.0,16.2,35.7,11.016,0
35.800000000000004,65.3,37.59,44.404,0
90.5,4.4,95.025,2.9920000000000004,0
3.7,7.9,3.8850000000000007,5.372,0
23.700000000000003,51.2,24.885,34.816,0
55.1,31.200000000000003,57.855000000000004,21.216000000000005,0
31.400000000000002,36.7,32.97,24.956000000000003,0
58.900000000000006,32.2,61.845000000000006,21.896,0
5.4,95.7,5.670000000000001,65.07600000000001,0
43.6,85.4,45.78,58.072,0
48.300000000000004,22.5,50.715,15.3,0
98.7,36.300000000000004,103.635,24.684000000000005,0
13.200000000000001,4.7,13.860000000000001,3.196,0
19.400000000000002,41.5,20.370000000000005,28.22,0
41.800000000000004,48.2,43.89,32.776,0
5.6000000000000005,28.8,5.880000000000001,19.584000000000003,0
54.2,67.0,56.910000000000004,45.56,0
35.4,42.1,37.169999999999995,28.628000000000004,0
30.3,97.7,31.814999999999998,66.43599999999999,0
64.0,16.7,67.2,11.355999999999998,0
41.1,62.0,43.155,42.16,0
89.60000000000001,16.8,94.08000000000001,11.424000000000001,0
61.400000000000006,10.9,64.47000000000001,7.412,0
2.2,85.30000000000001,2.31,58.004000000000005,0
60.1,86.7,63.105,58.956,0
73.3,88.9,76.965,60.452,0
94.9,4.5,99.64500000000001,3.06,0
56.900000000000006,54.2,59.745000000000005,36.856,0
72.8,6.300000000000001,76.44,4.284,0
47.800000000000004,89.5,50.190000000000005,60.86,0
30.6,40.5,32.13,27.540000000000003,0
78.7,0.5,82.635,0.34,0
5.1000000000000005,15.700000000000001,5.355,10.676,0
75.4,94.0,79.17,63.919999999999995,0
29.0,59.5,30.45,40.46,0
67.60000000000001,33.2,70.98,22.576,0
82.30000000000001,84.60000000000001,86.415,57.528000000000006,0
36.7,6.1000000000000005,38.535000000000004,4.148000000000001,0
53.5,79.2,56.175000000000004,53.856,0
68.5,44.800000000000004,71.92500000000001,30.464000000000006,0
88.30000000000001,77.9,92.71500000000002,52.972,0
68.9,36.6,72.345,24.887999999999998,0
26.1,9.700000000000001,27.405,6.596000000000001,0
16.2,12.8,17.01,8.704,0
57.1,68.60000000000001,59.955000000000005,46.648,0
98.60000000000001,29.3,103.53000000000002,19.924,0
71.4,65.7,74.97000000000001,44.676,0
69.4,68.5,72.87,46.580000000000005,0
2.4000000000000004,18.8,2.5200000000000005,12.784,0
29.5,40.400000000000006,30.974999999999998,27.472000000000005,0
64.7,77.0,67.935,52.36,0
77.60000000000001,77.10000000000001,81.48000000000002,52.42800000000001,0
85.60000000000001,77.5,89.88000000000001,52.7,0
56.5,97.4,59.324999999999996,66.232,0
72.9,82.5,76.54500000000002,56.099999999999994,0
41.6,52.1,43.68000000000001,35.428000000000004,0
10.3,83.60000000000001,10.815000000000001,56.848000000000006,0
3.9000000000000004,96.2,4.095000000000001,65.41600000000001,0
10.600000000000001,21.1,11.13,14.348,0
67.7,50.900000000000006,71.08500000000001,34.612,0
50.800000000000004,31.8,53.34,21.624,0
15.3,28.200000000000003,16.065,19.176000000000002,0
12.8,24.900000000000002,13.44,16.932000000000002,0
55.900000000000006,8.5,58.69500000000001,5.78,0
28.8,55.7,30.240000000000002,37.876000000000005,0
63.6,97.4,66.78,66.232,0
17.0,73.3,17.85,49.844,0
32.5,0.0,34.125,0.0,0
54.300000000000004,83.7,57.015,56.916000000000004,0
9.1,74.3,9.555,50.524,0
47.800000000000004,90.2,50.190000000000005,61.336,0
16.900000000000002,2.0,17.745,1.36,0
92.4,77.10000000000001,97.02000000000001,52.42800000000001,0
34.800000000000004,53.7,36.540000000000006,36.516000000000005,0
54.7,0.1,57.435,0.068,0
43.0,58.800000000000004,45.15,39.98400000000001,0
19.400000000000002,15.600000000000001,20.370000000000005,10.608000000000002,0
24.700000000000003,12.5,25.935000000000002,8.5,0
66.0,36.5,69.3,24.82,0
38.800000000000004,42.1,40.74000000000001,28.628000000000004,0
37.6,73.0,39.48,49.64,0
1.1,65.0,1.155,44.2,0
4.0,26.3,4.2,17.884,0
45.2,80.80000000000001,47.46,54.94400000000001,0
66.7,1.0,70.03500000000001,0.68,0
55.1,82.5,57.855000000000004,56.099999999999994,0
59.1,24.0,62.055,16.32,0
45.300000000000004,23.1,47.565000000000005,15.708,0
74.3,98.0,78.015,66.64,0
14.100000000000001,61.5,14.805000000000001,41.82,0
98.30000000000001,0.2,103.215,0.136,0
66.7,64.3,70.03500000000001,43.724000000000004,0
4.1000000000000005,61.7,4.305000000000001,41.956,0
38.400000000000006,70.4,40.32000000000001,47.87200000000001,0
50.5,99.80000000000001,53.025,67.864,0
37.0,23.0,38.85,15.64,0
88.10000000000001,87.60000000000001,92.50500000000001,59.568000000000005,0
43.1,14.4,45.255,9.792000000000002,0
69.8,75.8,73.28999999999999,51.544,0
52.2,40.5,54.81,27.540000000000003,0
72.4,5.2,76.02000000000001,3.5360000000000005,0
12.0,72.2,12.6,49.096,0
11.0,99.9,11.55,67.932,0
61.0,80.60000000000001,64.05,54.80800000000001,0
91.7,92.80000000000001,96.28500000000001,63.10400000000001,0
31.6,94.7,33.18,64.396,0
98.0,94.0,102.89999999999999,63.919999999999995,0
22.400000000000002,34.2,23.520000000000003,23.256,0
69.7,64.60000000000001,73.185,43.92800000000001,0
